CRIME, TIME, LOCATION, CITY
LARCENY,1517472600000,1700 BLOCK E 8TH ST,LONG BEACH
LARCENY,1517473260000,2100 BLOCK MLK AV,LONG BEACH
LARCENY,1517474220000,1700 BLOCK CEDAR AV,LONG BEACH
GRAND THEFT AUTO,1517472300000,MAGNOLIA AV|W 15TH ST,LONG BEACH
OFFENSES AGAINST FAMILY,1517473920000,1000 BLOCK E 70TH ST,LONG BEACH
HIT & RUN,1517473680000,ORANGE AV|E 7TH ST,LONG BEACH
PROSTITUTION/VICE,1517475600000,ATLANTIC AV|HARDING ST,LONG BEACH
LARCENY,1517477760000,2300 BLOCK OLIVE AV,LONG BEACH
LARCENY,1517478660000,300 BLOCK E SHORELINE DR,LONG BEACH
ROBBERY,1517478480000,5700 BLOCK E PCH,LONG BEACH
VANDALISM,1517479440000,DAWSON AV|E ANAHEIM ST,LONG BEACH
HIT & RUN,1517479020000,COVER ST|WORSHAM AV,LONG BEACH
ALL OTHER OFFENSES,1517480040000,1300 BLOCK E MARKET ST,LONG BEACH
FRAUD,1517477220000,1000 BLOCK LEWIS AV,LONG BEACH
FRAUD,1517478180000,2300 BLOCK SOUTH ST,LONG BEACH
ASSAULT AGGRAVATED,1517482860000,1800 BLOCK LBB,LONG BEACH
LARCENY,1517483760000,E 2ND ST|BAY SHORE AV,LONG BEACH
NARCOTICS,1517484420000,600 BLOCK LINDEN AV,LONG BEACH
LARCENY,1517486400000,1800 BLOCK CEDAR AV,LONG BEACH
ASSAULT AGGRAVATED,1517483880000,1100 BLOCK DAWSON AV,LONG BEACH
ASSAULT SIMPLE,1517485440000,3200 BLOCK SANTA FE AV,LONG BEACH
LARCENY,1517487780000,3600 BLOCK SOUTH ST,LONG BEACH
NARCOTICS,1517490600000,1600 BLOCK LOCUST AV,LONG BEACH
HIT & RUN,1517488440000,TEMPLE AV|E 8TH ST,LONG BEACH
GRAND THEFT AUTO,1517490540000,500 BLOCK CERRITOS AV,LONG BEACH
BURGLARY,1517484720000,2000 BLOCK W WARDLOW RD,LONG BEACH
VANDALISM,1517494380000,1700 BLOCK LOCUST AV,LONG BEACH
GRAND THEFT AUTO,1517493900000,5400 BLOCK PARAMOUNT BL,LONG BEACH
NARCOTICS,1517492820000,200 BLOCK E WILLOW ST,LONG BEACH
DRIVING UNDER INFLUENCE,1517494560000,3300 BLOCK E BROADWAY,LONG BEACH
LARCENY,1517497860000,E 10TH ST|ALAMITOS AV,LONG BEACH
ASSAULT AGGRAVATED,1517496300000,5400 BLOCK CENTRALIA ST,LONG BEACH
LARCENY,1517498520000,3000 BLOCK E 5TH ST,LONG BEACH
NARCOTICS,1517499480000,1200 BLOCK ST LOUIS AV,LONG BEACH
ROBBERY,1517497920000,5400 BLOCK CHERRY AV,LONG BEACH
ASSAULT SIMPLE,1517501280000,3100 BLOCK FIDLER AV,LONG BEACH
HIT & RUN,1517497200000,E ANAHEIM ST|LEMON AV,LONG BEACH
VANDALISM,1517494080000,1000 BLOCK STANLEY AV,LONG BEACH
DRUNKENNESS,1517502660000,700 BLOCK W 4TH ST,LONG BEACH
WEAPONS VIOLATIONS,1517502060000,1300 BLOCK GAVIOTA AV,LONG BEACH
VANDALISM,1517503020000,5300 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1517504040000,6500 BLOCK ATLANTIC AV,LONG BEACH
BURGLARY,1517502540000,100 BLOCK XIMENO AV,LONG BEACH
HIT & RUN,1517503980000,W 20TH ST|PACIFIC AV,LONG BEACH
ASSAULT AGGRAVATED,1517505360000,3400 BLOCK LBB,LONG BEACH
WEAPONS VIOLATIONS,1517504040000,700 BLOCK EUCLID AV,LONG BEACH
DRIVING UNDER INFLUENCE,1517505900000,1000 BLOCK E 4TH ST,LONG BEACH
HIT & RUN,1517506200000,PALO VERDE AV|STEARNS ST,LONG BEACH
BURGLARY,1517505000000,1400 BLOCK PETERSON AV,LONG BEACH
OFFENSES AGAINST FAMILY,1517499120000,2200 BLOCK E 1ST ST,LONG BEACH
LARCENY,1517506620000,3100 BLOCK PARK LN,LONG BEACH
ASSAULT SIMPLE,1517509980000,1000 BLOCK PACIFIC AV,LONG BEACH
OFFENSES AGAINST FAMILY,1517501580000,300 BLOCK E 14TH ST,LONG BEACH
ASSAULT SIMPLE,1517510100000,500 BLOCK E 64TH ST,LONG BEACH
HIT & RUN,1517509800000,E PCH|GAVIOTA AV,LONG BEACH
OFFENSES AGAINST FAMILY,1517506020000,100 BLOCK E LOUISE ST,LONG BEACH
HIT & RUN,1517513340000,E 4TH ST|ORANGE AV,LONG BEACH
ASSAULT AGGRAVATED,1517512380000,400 BLOCK E ARBOR ST,LONG BEACH
DRIVING UNDER INFLUENCE,1517511960000,4600 BLOCK LCD,LONG BEACH
NARCOTICS,1517515440000,E PCH|LINDEN AV,LONG BEACH
NARCOTICS,1517503920000,2200 BLOCK EARL AV,LONG BEACH
LARCENY,1517512740000,6700 BLOCK CHERRY AV,LONG BEACH
ALL OTHER OFFENSES,1517515320000,MLK AV|E 10TH ST,LONG BEACH
VANDALISM,1517515620000,100 BLOCK E 55TH ST,LONG BEACH
LARCENY,1517518800000,400 BLOCK NEWPORT AV,LONG BEACH
ALL OTHER OFFENSES,1517531280000,E PCH|GAVIOTA AV,LONG BEACH
ASSAULT SIMPLE,1517518140000,200 BLOCK E 25TH ST,LONG BEACH
LARCENY,1517514900000,6200 BLOCK E 2ND ST,LONG BEACH
ASSAULT SIMPLE,1517519760000,400 BLOCK E ARBOR ST,LONG BEACH
VANDALISM,1517519640000,5200 BLOCK ATLANTIC AV,LONG BEACH
VANDALISM,1517519460000,5800 BLOCK NAPLES PZ,LONG BEACH
GRAND THEFT AUTO,1517520600000,5900 BLOCK E CARSON ST,LONG BEACH
ASSAULT AGGRAVATED,1517520900000,E PCH|ORANGE AV,LONG BEACH
ASSAULT SIMPLE,1517523660000,900 BLOCK ATLANTIC AV,LONG BEACH
VANDALISM,1517525940000,LBB|E ANAHEIM ST,LONG BEACH
VANDALISM,1517524200000,4100 BLOCK LAKEWOOD BL,LONG BEACH
ASSAULT SIMPLE,1517524440000,ATLANTIC AV|E ARTESIA BL,LONG BEACH
DRIVING UNDER INFLUENCE,1517522520000,200 BLOCK W PCH,LONG BEACH
ASSAULT AGGRAVATED,1517525940000,100 BLOCK E HILL ST,LONG BEACH
ALL OTHER OFFENSES,1517527140000,500 BLOCK W 4TH ST,LONG BEACH
ASSAULT AGGRAVATED,1517530800000,100 BLOCK S 62ND PL,LONG BEACH
ROBBERY,1517532900000,LAKEWOOD BL|NORSE WY,LONG BEACH
HIT & RUN,1517533080000,BELLFLOWER BL|E SPRING ST,LONG BEACH
BURGLARY,1517532900000,2400 BLOCK ATLANTIC AV,LONG BEACH
ASSAULT SIMPLE,1517535780000,6700 BLOCK PARAMOUNT BL,LONG BEACH
HIT & RUN,1517533140000,BELLFLOWER BL|E SPRING ST,LONG BEACH
BURGLARY,1517537580000,5400 BLOCK MYRTLE AV,LONG BEACH
VANDALISM,1517535900000,400 BLOCK E ARTESIA BL,LONG BEACH
HIT & RUN,1517539500000,W 52ND ST|DAISY AV,LONG BEACH
ROBBERY,1517536200000,2700 BLOCK WEST AMERICAN AV,LONG BEACH
NARCOTICS,1517539080000,CHERRY AV|POPPY ST,LONG BEACH
DRUNKENNESS,1517543460000,E 4TH ST|ZONA CT,LONG BEACH
ASSAULT SIMPLE,1517553060000,E 4TH ST|ELM AV,LONG BEACH
GRAND THEFT AUTO,1517552520000,4500 BLOCK MONTAIR AV,LONG BEACH
VANDALISM,1517557020000,2000 BLOCK CANAL AV,LONG BEACH
LARCENY,1517557620000,LEWIS AV|E 59TH ST,LONG BEACH
HIT & RUN,1517518800000,W HILL ST|GALE AV,LONG BEACH
GRAND THEFT AUTO,1517556840000,3900 BLOCK ALBERAN AV,LONG BEACH
LARCENY,1517482800000,600 BLOCK MIRA MAR AV,LONG BEACH
LARCENY,1517493600000,2200 BLOCK CLARK AV,LONG BEACH
